amount,currency,payer_account_number,beneficiary_account_number,payer_country_code,beneficiary_country_code,transaction_timestamp
3383.64,EUR,HU28EXDV9600133890,FR71GWUW3794026542351161,HU,FR,2025-07-10T05:06:54Z
769.08,DKK,GB93ORDM8495931034,GB10HDMI5255341928327648,GB,GB,2025-02-03T17:58:29Z
4627.42,CAD,IE29BZKM13953767242388,RO33XSNS5328710122691669,IE,RO,2025-02-13T10:45:32Z
8858.91,JPY,AU87XDVR51462704828148,SE77GELY880957015430,AU,SE,2025-01-09T22:01:18Z
224.86,USD,IE08YRYE782489638346,PL85ULOQ1331509839301031,IE,PL,2026-01-13T11:31:07Z
1805.67,USD,BE85PGRE3763116566701065,CH13HGGR2624731781080132,BE,CH,2025-08-05T07:11:32Z
602.19,NOK,CA07FMAM74687234309805,NO07BSPQ081219136193,CA,NO,2025-11-08T11:55:58Z
2415.89,EUR,PL84SSQK35346247510799,CZ12CRGQ25135427849808,PL,CZ,2025-11-22T14:55:07Z
6990.34,USD,AT33DDXR449353487401,RO81NIBA24278680112805,AT,RO,2025-04-15T07:22:04Z
1405.36,GBP,PL39LZBL315869232260,DK22XKZN421607337543,PL,DK,2025-02-02T11:44:47Z
537.48,PLN,IE35CYIL8501429401965569,NL65DMSG06088356159514,IE,NL,2025-09-12T23:14:46Z
1313.28,PLN,SE89JREG6299468044369957,AT56OVGQ2148951343320037,SE,AT,2025-11-09T13:17:12Z
1338.97,NOK,CZ73GWWM6320163287083172,DE59VQRT79868727743487,CZ,DE,2026-05-05T03:40:39Z
1449.98,JPY,HU30IKKR2236231665,IE69ONBG6909670546688937,HU,IE,2025-08-10T22:21:31Z
1663.09,AUD,IE43VVZM729806990162,LU59FBIM37556464170805,IE,LU,2025-10-30T00:49:25Z
3800.37,USD,IE96AHGA327193745299,HU95WDYF19049663193149,IE,HU,2025-02-01T06:27:57Z
105.84,HUF,FR54VLCQ06716572628498,PL99PONX53147379965075,FR,PL,2026-02-18T19:05:28Z
1096.58,CHF,IT43ITWI8313678377,NO57ZACJ634957885685,IT,NO,2025-07-20T16:02:16Z
790.92,NOK,GB29DXGK8233749894,BG12GJHL408240084271,GB,BG,2025-07-15T06:30:15Z
1585.35,JPY,NL43FBIP1671902294,PL10HDRY9993867749649909,NL,PL,2025-12-09T02:56:00Z
593.55,PLN,FR20HFRC067974034471,PT87HIZZ618324210249,FR,PT,2025-03-05T01:26:38Z
332.98,NOK,PL89MIQR7190659401399049,AT05YYFP4296717565512567,PL,AT,2025-08-25T04:40:14Z
4200.20,AUD,AT04OCKI16808760385977,RO97BGIR477109324808,AT,RO,2026-03-04T06:32:38Z
12153.46,CHF,CA59DUEP84677378263982,DE08IYZN84044997278755,CA,DE,2025-03-30T03:04:06Z
1520.01,AUD,DK24WHSM605766270289,DK42DODQ0262174596158657,DK,DK,2025-09-07T22:21:52Z
178.19,DKK,DK87JHXC1172400504556238,BE52SVZF219693792374,DK,BE,2026-05-06T05:41:38Z
24.60,PLN,AU36VRFC5946474367136959,LU37WJAV4090974395339421,AU,LU,2025-12-28T08:56:57Z
924.80,EUR,HU04SLXE4562328588,HU34FIPZ51712368516048,HU,HU,2025-12-09T09:32:23Z
2794.18,CAD,FR74MULD709859317461,AU17BBJP1382675869,FR,AU,2025-07-23T15:02:34Z
261.69,PLN,ES78NIBW37735158506431,CA58CVGU0532931839,ES,CA,2026-01-16T02:05:23Z
3723.13,CAD,PT00IEER21020539502402,IE94NQDX7758917839,PT,IE,2026-04-08T21:54:10Z
898.52,SEK,BE07PMNV7711592124,RO79USRW69847896118367,BE,RO,2025-01-25T04:41:24Z
4393.22,CAD,IE53XDKN45271111615280,CA75RRKV6560494519,IE,CA,2025-11-06T16:52:09Z
2674.14,GBP,SE13LRLD93689980940244,PT43LAFE1201836675254599,SE,PT,2025-06-24T04:13:38Z
429.19,GBP,DE06VCIO7976438156149784,BE05HMTB3432445107,DE,BE,2026-04-25T21:20:18Z
1196.93,GBP,CA64RVZL6060715969,IT51WUNJ6052975161,CA,IT,2025-06-28T17:34:28Z
1279.94,DKK,IE50JXKH21818835523124,CA25FTEY2779979955,IE,CA,2025-03-03T02:05:16Z
1583.11,USD,ES38ZISB81477005411998,AU49OSRZ7935978207,ES,AU,2026-05-06T09:52:18Z
221.25,CZK,FR05HWOO554665905151,CH71VMJI519254629148,FR,CH,2025-05-15T00:43:52Z
996.52,HUF,US85WXVQ6850542357,HU24HEEC18880592962229,US,HU,2025-04-10T06:14:54Z
1323.72,EUR,IT56TJYX3834735977468862,AU25ZTEI7581814124,IT,AU,2025-07-04T11:53:01Z
4446.33,GBP,AU28OLAN6853615305,SE12WUKZ204727790104,AU,SE,2025-03-13T05:39:53Z
7043.96,SEK,PT67NDYJ410369711798,ES02UQSH460953962185,PT,ES,2026-04-18T22:20:51Z
1770.78,SEK,DE70AMPB5405153195205852,SE99VOWP217043030548,DE,SE,2026-01-30T06:46:15Z
731.28,NOK,US36LYBU41566765277584,DK10XNCN845115447962,US,DK,2025-05-29T10:25:34Z
1482.58,CAD,BG78NIUZ1658202970,AU16CHYU56909275571928,BG,AU,2025-10-01T20:10:54Z
2622.42,CAD,GB14AXFP8144739473121727,US11ZVKV18844225831323,GB,US,2025-07-13T21:05:54Z
2019.71,CAD,NO59ZRET1467866912,NL40UCOO28922680182422,NO,NL,2025-10-14T13:00:09Z
1062.71,CHF,CH36CIGU24981829922995,BG72BACB39690784473647,CH,BG,2026-02-08T00:57:21Z
431.18,EUR,DE61OGKT555625881537,BG15IOHE0469632595,DE,BG,2025-11-19T19:45:03Z
13785.61,NOK,PT63JPAC8733950047974801,IT55EIXL5060983584168784,PT,IT,2025-12-29T14:03:52Z
317.21,DKK,CZ50LZKR23986800025787,RO19TQEK26949588879470,CZ,RO,2025-03-17T02:16:24Z
291.22,PLN,GB74JZXW9749930972,CH67UXTY2309130756263689,GB,CH,2025-11-20T12:52:24Z
372.49,CZK,NO71KVPQ5278585497334843,BE38YJWG5758441986652404,NO,BE,2025-06-11T01:07:46Z
6443.87,CAD,BG95PGGR84219933083301,DE52KWPD082677345401,BG,DE,2025-07-19T04:27:43Z
1916.11,CHF,HU22NFBM2400499154788728,PL59IGZD27420549329668,HU,PL,2025-01-29T23:17:22Z
2767.03,AUD,CH17PKHA63745499045301,DE59JFMV14593327279568,CH,DE,2025-05-24T12:34:16Z
2728.31,HUF,NO97HVYT8785191088,DK25SREF87139718707286,NO,DK,2025-06-19T15:29:15Z
2046.63,EUR,AU92AMIA910651801704,PL52FYEY5676618251286823,AU,PL,2025-08-28T08:41:49Z
1555.41,JPY,NL54RMHH5243106903311907,NL76VWBH6738302843,NL,NL,2026-02-27T21:11:48Z
2278.75,DKK,PL30JEVQ644089268705,CH82VMZQ66246287334270,PL,CH,2025-09-07T01:37:51Z
2038.08,AUD,DK49HIGK7518304699,CA05CGZY735403317393,DK,CA,2025-04-15T03:40:12Z
971.10,SEK,US48ORUL45877175355609,IE28XEAI4235369378547772,US,IE,2025-08-08T20:36:21Z
3186.22,GBP,GB23RUBQ1006231203,IT64OLBT7008860084840862,GB,IT,2026-01-15T06:52:33Z
